"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012190100","POONA, IN","2009-01-01",,"66","88","49"
"IN012190100","POONA, IN","2009-01-02",,"69","87","50"
"IN012190100","POONA, IN","2009-01-03",,"70","86","55"
"IN012190100","POONA, IN","2009-01-04",,"69","86","55"
"IN012190100","POONA, IN","2009-01-05",,"69","86","55"
"IN012190100","POONA, IN","2009-01-06",,"67","83","54"
"IN012190100","POONA, IN","2009-01-07",,"69","85","54"
"IN012190100","POONA, IN","2009-01-08",,"70","86","56"
"IN012190100","POONA, IN","2009-01-09",,"69","86","56"
"IN012190100","POONA, IN","2009-01-10",,"70","87","57"
"IN012190100","POONA, IN","2009-01-11",,"71","89","56"
"IN012190100","POONA, IN","2009-01-12",,"71","89","56"
"IN012190100","POONA, IN","2009-01-13",,"69","84","56"
"IN012190100","POONA, IN","2009-01-14",,"69","85","56"
"IN012190100","POONA, IN","2009-01-15",,"69","84","57"
"IN012190100","POONA, IN","2009-01-16",,"68","85","55"
"IN012190100","POONA, IN","2009-01-17",,"68","84","52"
"IN012190100","POONA, IN","2009-01-18",,"68","85","54"
"IN012190100","POONA, IN","2009-01-19",,"68","85","54"
"IN012190100","POONA, IN","2009-01-20",,"69","86","53"
"IN012190100","POONA, IN","2009-01-21",,"70","89","54"
"IN012190100","POONA, IN","2009-01-22",,"69","88","54"
"IN012190100","POONA, IN","2009-01-23",,"69","88","53"
"IN012190100","POONA, IN","2009-01-24",,"69","90",
"IN012190100","POONA, IN","2009-01-25",,"74","95","55"
"IN012190100","POONA, IN","2009-01-26",,"73","96","55"
"IN012190100","POONA, IN","2009-01-27",,"72","91","56"
"IN012190100","POONA, IN","2009-01-28",,"73","93","54"
"IN012190100","POONA, IN","2009-01-29",,"75","93","58"
"IN012190100","POONA, IN","2009-01-30",,"75","94","61"
"IN012190100","POONA, IN","2009-01-31",,"76","95","60"
"IN012190100","POONA, IN","2009-02-01",,"74","94","59"
"IN012190100","POONA, IN","2009-02-02",,"73","94","55"
"IN012190100","POONA, IN","2009-02-03",,"72","93","53"
"IN012190100","POONA, IN","2009-02-04",,"70","92","53"
"IN012190100","POONA, IN","2009-02-05",,"69","91","49"
"IN012190100","POONA, IN","2009-02-06",,"72","91","52"
"IN012190100","POONA, IN","2009-02-07",,"72","92","53"
"IN012190100","POONA, IN","2009-02-08",,"74","93","57"
"IN012190100","POONA, IN","2009-02-09",,"74","93","59"
"IN012190100","POONA, IN","2009-02-10",,"71","87","56"
"IN012190100","POONA, IN","2009-02-11",,"69","90","51"
"IN012190100","POONA, IN","2009-02-12",,"69","90","51"
"IN012190100","POONA, IN","2009-02-13",,"70","90","52"
"IN012190100","POONA, IN","2009-02-14",,"71","92","51"
"IN012190100","POONA, IN","2009-02-15",,"72","91","54"
"IN012190100","POONA, IN","2009-02-16",,"72","95","57"
"IN012190100","POONA, IN","2009-02-17",,"76","94","61"
"IN012190100","POONA, IN","2009-02-18",,"78","94","60"
"IN012190100","POONA, IN","2009-02-19",,"75","93","58"
"IN012190100","POONA, IN","2009-02-20",,"76","94","59"
"IN012190100","POONA, IN","2009-02-21",,"75","93","59"
